internal_id,closest_1,closest_2,closest_3
1,2,3,4
262,513,11330,264
517,19053,21628,279
518,519,2445,2465
518,519,2445,2465
1,2,3,4
521,6824,7185,8161
522,23798,5995,13823
523,1384,7388,33674
524,1045,14137,15329
525,118,11262,33398
526,3,19504,3641
527,20784,35516,14134
528,18857,16321,19297
529,1239,895,6049
530,698,1985,6322
531,19566,16321,10265
532,6322,6331,6332
1,2,3,4
1,2,3,4
1,2,3,4
538,783,13140,12693
539,1238,2469,3124
540,5765,8038,18959
541,2567,10980,24154
542,54,588,18047
543,26622,11800,19068
544,6072,369,3789
545,1392,29385,8207
546,369,923,613
547,2480,3129,30804
548,30635,6832,26314
549,2579,2582,313
551,36,926,337
552,311,6021,18718
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
562,15395,224,16519
563,6428,26420,19597
564,7833,3977,224
565,30589,568,567
566,30592,23129,1131
567,15294,23670,17694
568,30595,30598,565
569,30598,15525,18810
570,26937,15662,16972
571,3729,23313,7753
572,23743,34284,7411
1,2,3,4
1,2,3,4
1,2,3,4
587,19566,32588,18857
588,592,2513,6007
589,6007,1122,30499
590,639,31889,11308
591,2424,7073,3123
592,2513,2378,593
593,592,33609,2513
594,15910,24024,10591
595,30604,1283,7913
596,3531,29543,47
597,1587,14820,9781
598,28168,12291,1218
599,5686,26889,201
600,7167,13709,18564
601,40,1313,926
602,14979,335,622
603,811,28292,9711
604,25402,3681,7224
605,16863,16321,966
606,30471,17275,605
607,1218,32053,26617
608,17591,19384,19865
210,211,213,609
610,8530,2356,10616
611,613,601,2713
612,32604,36,30723
613,2713,28294,656
614,26492,29614,10841
615,25565,2242,19068
1,2,3,4
617,18709,18407,6428
618,5918,6942,34806
619,966,6976,2203
620,12291,28168,18561
1,2,3,4
335,622,21073,22438
623,10428,2439,3832
624,3766,7864,32400
109,625,1092,7036
626,11196,11713,11014
627,19482,35323,32630
628,11293,12923,29733
629,35528,26347,23747
630,6959,24928,29418
631,69,30673,19255
632,6317,33381,17876
633,30667,130,30306
634,971,26784,33913
635,209,1213,27431
636,2984,10734,897
637,2390,907,3681
638,33643,12339,18709
639,590,28325,18709
640,11554,17456,9313
641,2480,26301,20203
642,8661,773,30506
1,2,3,4
644,906,642,587
645,23024,33166,671
646,21675,8187,10449
647,7303,648,16156
648,25550,19539,8902
649,8638,15377,18723
651,16769,5880,32588
652,25,733,361
653,652,605,1622
401,654,11835,20683
655,5948,23357,1234
656,884,2610,3965
657,35646,26920,22979
658,1264,33671,1055
659,5265,25656,32493
660,16601,1321,5232
661,19068,25656,8080
662,30681,30750,21009
663,32588,16321,21700
664,7388,23527,26522
665,16321,18857,15662
666,330,16321,18857
667,16124,12817,6025
668,908,17880,36
669,34784,10431,32689
670,602,21316,7179
671,3940,33193,6681
672,10428,22943,2844
673,6509,7674,10609
674,1277,30243,5233
675,3842,6489,34698
676,12291,1008,28168
677,2416,2985,6110
678,34222,11597,7566
679,18220,18523,16683
680,913,145,18541
681,24020,33652,23648
682,3409,3739,9910
683,1142,23784,9195
684,7869,6067,12618
685,32382,10958,10734
686,30947,12932,687
687,686,2531,12817
688,30499,1126,408
689,7046,10668,19001
690,16829,13073,8773
691,692,18220,18523
692,18220,18523,2973
693,8200,22978,14151
694,26491,30426,26645
695,30429,3847,26494
696,8819,9453,18295
697,11661,28201,2545
698,1115,13970,530
699,3567,34437,26289
700,22752,19140,18829
701,33463,28296,663
702,663,19053,605
703,30441,10609,32575
704,1100,7166,32223
705,2720,459,10550
706,30447,7497,18066
707,1042,1130,11292
708,7060,34439,199
709,8724,15645,24933
710,30453,26516,1406
711,935,13114,11967
712,1624,5614,7639
713,33698,134,2511
714,34669,20869,13356
715,1053,5798,9959
716,325,15600,35559
1,2,3,4
718,3436,5788,7156
719,19739,19768,19758
720,5793,7192,7514
721,15780,547,26301
722,19739,19768,10251
723,32329,2501,16031
724,13823,23087,718
725,31261,19245,10839
726,2386,1238,2469
727,626,11190,1238
119,728,12001,871
729,592,2470,16758
730,7048,2293,2452
731,1127,8292,9858
733,361,122,180
734,224,16519,1167
735,309,7763,17555
1,2,3,4
737,32826,3944,5992
738,32186,5176,10035
739,1038,1014,7822
740,3305,3896,30916
741,1261,8959,800
742,17919,2768,447
743,224,16519,1167
744,224,16519,1167
745,10786,3784,11642
746,6248,32826,3944
747,1124,1045,14137
748,14823,706,8069
750,1131,1266,33161
751,752,6330,32562
752,6330,32562,6429
753,32562,6429,965
754,6843,7147,7787
755,3709,22777,34782
756,30664,18482,30779
757,30666,3929,22811
758,30667,10162,3431
759,2656,3759,22385
760,34378,16101,32539
761,763,5654,1013
762,30671,761,763
763,5284,761,5654
764,30673,1532,13363
765,22341,30700,30913
766,26353,26275,826
767,26275,6058,866
768,33353,35515,13257
769,30676,14007,32353
770,30677,24020,33652
771,16573,14625,17720
324,409,772,1436
773,30506,906,1209
774,917,39,8
775,47,1217,39
776,3073,26468,12203
777,26904,611,1001
778,24214,16164,10941
779,17279,2430,978
780,896,1220,897
781,23792,32660,17591
782,30612,811,30511
783,538,1451,26630
784,30650,779,40
785,3463,19156,19283
786,33740,18399,952
787,17612,26469,17591
788,30511,782,30534
789,23737,7677,457
790,774,5996,39
791,32293,18718,30575
792,399,169,30527
793,31257,23802,3434
794,27441,27445,29490
795,2471,22633,7060
796,7385,7288,16104
797,29495,29497,150
798,308,2359,3679
799,10948,6148,22346
800,1261,13188,36
801,29500,23206,32772
802,29502,27425,23206
803,27428,10071,5287
804,29511,26631,27425
805,6160,26657,19081
806,26498,27447,23236
807,1297,601,23236
808,265,34316,16967
809,17784,7008,3484
810,1226,26658,27426
811,1148,603,28292
812,5216,28230,30510
813,22215,417,94
814,23528,137,23486
815,30903,12301,136
816,6007,32604,8559
817,1123,6007,33398
818,1217,39,122
819,32604,30723,1125
820,707,1042,1130
821,135,1277,30243
822,18572,8977,942
823,23621,6083,11152
824,13193,18217,2652
825,8067,966,529
826,26275,30917,9849
827,22995,2823,30556
828,26866,2545,65
829,589,30768,15728
830,23621,1030,11308
831,23113,1129,33782
832,7179,22402,589
833,33897,29433,7815
834,34,8,19216
835,390,26630,32053
836,1064,3679,308
837,26287,26622,543
838,29561,2748,26501
839,29564,815,6509
476,477,489,491
841,7136,20869,2220
842,6981,12799,16124
1,2,3,4
844,7039,20203,6508
845,279,21,23040
846,374,34651,28325
847,17857,1260,24206
848,207,446,25222
849,6022,26866,8325
850,9195,5933,7574
851,34319,9244,20678
852,11785,27431,27455
853,27431,27455,29580
854,224,16519,2460
855,30604,1283,7411
856,32849,2642,3871
857,23759,2782,12359
1,2,3,4
1,2,3,4
866,23841,2526,11204
867,30610,1406,30607
868,30613,22953,7980
869,22960,12310,23554
870,1587,9827,13808
871,23665,5731,6688
872,30619,224,16519
873,30622,8250,31284
874,30529,34581,30532
875,30532,34581,1502
876,30535,30538,29511
877,224,16519,1167
878,3825,17279,28
879,32604,12326,15062
880,30544,33149,34985
881,23218,32777,29610
882,30547,224,16519
883,7497,29271,18066
656,884,2610,3965
30,190,192,481
886,3757,7891,7692
887,447,17919,8606
888,8634,42,15411
889,6860,9239,8155
890,308,7060,2157
891,17196,9665,23537
892,26622,11800,29326
893,5497,29562,324
894,2391,2399,2422
895,6049,6084,15167
896,780,2391,2422
897,780,896,2422
898,183,10251,20720
899,30723,19484,8920
900,1238,2469,3124
901,891,2389,6098
902,7123,9187,23679
903,2777,29,9965
904,18220,18523,692
905,11732,23710,7690
906,773,1209,30506
907,1238,2469,3124
908,668,17880,3834
909,335,622,21073
910,5896,11867,20866
911,31260,22837,2399
912,19068,40,3431
913,1243,7597,17458
914,8338,2437,11225
915,27,30507,30480
916,42,41,30632
917,774,28294,1375
918,21675,30600,1137
919,33,11073,23208
920,369,12807,18718
921,926,19068,42
922,11169,910,5896
923,28308,28323,1114
924,7388,664,7017
925,30489,37,23643
926,42,40,3940
927,2924,182,937
928,40,30492,1218
929,16321,11752,6160
930,28304,10672,26275
931,34757,11130,2329
932,32849,6848,33933
933,20118,529,14790
934,47,894,1404
935,33489,12093,2508
936,25,403,2384
937,122,183,114
938,900,1022,9743
939,917,551,612
940,935,28294,2508
941,935,936,32287
942,6042,30723,22607
943,6270,26665,8606
944,945,29421,21675
945,19489,944,9088
946,33740,952,2652
947,32454,32459,5946
948,30567,11254,7822
949,30516,18220,18523
950,948,11671,3731
951,21628,33672,33383
952,200,32293,946
953,10762,603,811
954,17694,6327,191
955,16029,11822,32470
956,22253,19224,21047
957,958,9049,18662
958,9049,18662,959
959,963,958,9049
960,22960,18007,869
961,963,9049,18662
962,443,961,8250
963,9049,18662,959
964,11479,427,30306
965,6429,32562,28960
966,11991,825,3102
967,19605,23010,26335
968,3431,15294,23670
969,26622,33587,11800
970,23183,21009,19871
971,28926,9843,9914
1,2,3,4
973,33737,9344,33770
974,977,39,47
975,30483,1137,981
976,1217,991,986
977,8,39,1152
978,17279,28,30818
979,8,992,976
980,8606,22901,613
981,361,986,30501
982,2392,11713,500
983,20203,500,2623
984,774,8,2651
985,40,29659,3431
986,1217,361,183
987,2588,492,2615
988,11313,11274,32792
989,30734,991,921
990,22444,29608,2660
991,976,2512,607
992,917,774,18471
993,6002,7201,18471
994,30625,7336,78
995,23148,23313,7241
996,8763,845,21628
997,10114,18709,11978
998,17957,5697,20011
999,30634,7822,35589
1000,13933,22609,30637
1001,26904,10461,9565
1002,13055,23210,30640
1003,23210,13831,18221
1004,23228,30646,23895
1005,30649,29412,2928
1006,30649,30652,3896
1007,30652,23208,1308
1008,12291,28168,16664
1009,3926,7932,16071
1010,743,32034,1975
1011,12932,15136,28347
1012,25460,31981,309
1013,761,5284,5654
1014,33611,10453,5960
1015,319,7262,7267
1016,46,905,15590
1017,11529,1261,800
1018,11590,11196,7043
1019,25493,9402,20851
1020,3123,2424,913
1021,31922,394,457
1022,2740,907,3681
1023,2450,14636,2400
1024,1238,2469,3124
1025,1022,30875,14905
1026,7432,25656,7035
1027,26457,17957,8099
1028,7406,26401,24162
1030,830,826,1634
1031,30527,23651,1022
1032,2400,22644,8257
1033,10288,715,1053
1034,32807,17818,7176
1035,3790,10105,3814
1036,3729,7307,22246
30,190,192,481
1038,3790,7822,35589
1039,28201,7822,35589
1040,30516,11426,10934
1041,349,23234,21130
1042,1130,11292,707
1,2,3,4
1044,2636,347,1991
1045,14137,15329,18969
1046,5609,18488,17063
1047,19752,17591,19384
1048,28264,1049,1050
1049,1050,22719,30783
1050,1049,22719,30783
1051,28267,25064,5632
1052,28269,28267,25064
715,1053,5798,9959
1054,28325,33625,23806
1055,18691,35547,20108
1056,7370,32829,2412
1057,922,910,5896
1058,23037,5176,10035
1059,22854,27428,11007
1060,763,761,1013
1061,3530,32542,8508
1062,30875,14905,26465
1063,13831,12160,3837
1064,3679,308,5658
1065,199,7060,1064
1066,15912,7651,1970
1067,16132,308,14686
1068,16164,16810,28292
1069,28408,2532,18561
1070,11661,19156,8898
1071,32454,32459,8901
1072,2708,22611,25558
1073,921,14825,28298
1074,28172,3577,9403
1075,28174,3847,28513
1076,28176,103,1218
1077,28178,29277,30433
1078,28180,1041,349
1079,28182,935,7681
1080,28184,28230,30510
1081,28186,34686,803
1082,28189,28168,12291
1083,28191,811,603
1084,28193,30439,4452
1085,26469,28195,23792
1086,28197,30442,940
1087,845,28201,11661
1088,26271,30516,3790
1089,28204,2577,2580
1090,18220,18523,11237
1091,28210,28311,122
109,625,1092,7036
1093,28212,28214,33615
1094,3511,15778,11434
1095,14636,26520,33822
1096,28286,6841,30371
1097,1096,923,6841
1098,2638,32173,24029
1099,36,870,1125
1100,8069,9858,13244
1102,30459,942,774
1112,1123,33933,10684
1113,11488,11848,7637
1114,923,11620,28308
1115,1119,1117,11159
1116,1119,1115,17364
1117,1115,8911,1119
1118,33963,1509,1447
1119,1115,13188,1116
1120,18220,18523,6919
1121,59,487,2620
1122,2470,4432,589
1123,30499,2437,10154
747,1124,1045,14137
1125,33509,33843,33682
1126,518,519,2445
1127,9858,13244,14327
1128,10959,12855,25445
1129,30938,10984,28308
1042,1130,11292,707
1131,750,30538,26637
1134,18066,29531,15614
1135,30563,123,30928
