internal_id,closest_1,closest_2,closest_3
617,626,26546,26552
1,2,3,4
65,66,109,110
1,2,3,4
1,2,3,4
1,2,3,4
623,30556,617,626
1,2,3,4
1,2,3,4
617,626,26546,26552
627,2466,2475,2958
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
65,66,109,110
634,587,26769,26767
635,27729,2681,27437
636,34424,27730,7044
637,2639,29272,2643
594,638,46,51
639,31950,594,638
640,900,729,7346
641,393,6084,896
642,652,26804,26803
1,2,3,4
317,395,400,532
1,2,3,4
65,66,109,110
1,2,3,4
648,3870,13464,14103
649,3870,13464,14103
651,26803,652,26804
652,26804,26803,642
1,2,3,4
654,30678,772,2484
655,3495,2635,288
656,3494,7224,8748
657,28233,11,3958
658,30704,21417,1248
659,660,662,1242
659,660,662,1242
1,2,3,4
659,660,662,1242
663,30682,27634,2481
664,663,30682,27634
665,998,3400,5610
49,252,568,569
667,30683,6882,319
668,998,3400,5610
669,998,3400,5610
670,20104,20096,22436
671,30684,1239,6079
672,16988,17556,20075
1,2,3,4
1,2,3,4
1,2,3,4
676,5646,5891,5638
677,7205,22489,7477
678,154,196,1236
1,2,3,4
680,26648,26709,26535
681,22600,26346,26761
682,683,6832,26742
683,26710,3914,682
65,66,109,110
65,66,109,110
1,2,3,4
1,2,3,4
1,2,3,4
689,26729,248,2499
1,2,3,4
1,2,3,4
692,26745,897,6823
55,129,133,134
1,2,3,4
695,1326,466,3521
282,429,432,696
697,1325,465,469
698,30432,1405,6024
699,3510,6001,6009
700,27434,30438,3249
701,27438,30441,1334
702,3507,27444,12507
703,27446,1212,3721
704,1209,1319,3662
705,27458,1208,28542
706,27463,30447,27458
707,27465,2199,28500
708,27469,97,26648
709,23,2807,838
269,710,1312,26516
711,27480,27481,26287
48,150,712,1114
713,1443,30842,1127
714,5999,793,1142
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
726,1226,6040,7217
727,6087,30468,6048
728,26657,6063,30530
729,900,7346,782
730,7440,17923,15728
1,2,3,4
733,17257,521,522
237,563,734,742
735,235,570,745
736,30559,738,1407
737,29369,34457,7337
738,2485,736,3103
1,2,3,4
740,27437,26676,30568
741,13640,30562,6526
237,563,734,742
743,744,30571,30562
744,743,30571,30562
235,570,745,750
